model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val
20,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.1126348274094715,0.38415130191404734,4.789067472730364,1.9291489245718703,5.784579513754164,0.5733681392183758,6.479030510357448,2.534325026884931
21,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.87890921660832,0.3139012111782992,4.378449431487492,1.610010370272967,5.424302681854793,0.47356318415667004,5.955008295604161,2.1900986051959683
22,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.07457104069846,0.3920548624821459,4.718390057768141,1.9193156443961763,5.736491433211735,0.5971539936540137,6.423922993455615,2.546708878228411
23,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.070738770280566,0.38459933748590336,5.075988023621695,1.921316225556308,5.724343752861023,0.5768935426903308,6.881292034898485,2.511591056354748
24,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9793845687593734,0.32134497129061496,4.89359700850078,1.7019357198870346,5.494924036094121,0.4759267291645567,6.638056870869228,2.2663043010760675
25,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.09139723096575,0.3951751292986491,4.815555393695831,1.9306151204679753,5.75881073474884,0.5853437454837798,6.481400086198534,2.5256426975616915
26,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.070567744118827,0.3538315063763974,5.09545441695622,1.984571449404391,5.7254978452410015,0.5394688902222237,6.8907602872167315,2.5784529095645214
27,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.962689621107919,0.34355625117954175,4.743402925559453,1.372652648561862,5.478712035928454,0.5156151134655999,6.502082054955618,2.0405360451103465
28,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9060960599354337,0.2880846301913844,4.418806498391287,1.459982806828508,5.357256208147321,0.4316129178182405,6.001843588692801,2.0058402070132293
29,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.940361361844199,0.3515822073714012,4.8999759946550645,1.852921381103509,5.452300022329603,0.5217016952639717,6.67673055274146,2.4209685687317597
30,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.070032894611359,0.4014780867266725,4.771756999833244,1.9176855121260257,5.7250689506530765,0.596425055101753,6.441631160463605,2.4791609852313448
31,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.07023389339447,0.3537666927117532,5.094529116153717,1.9849450775225395,5.725578836032322,0.539403079053547,6.889368728228978,2.579333002301498
32,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.147453892230987,0.37097714039370505,5.177390807015556,2.133355890028774,5.718696212768554,0.5568186890849467,6.971226988519941,2.6862456037606863
33,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",3.905350685119629,0.2880578513809753,4.418621369770595,1.4599859574694942,5.357039097377232,0.4317179908434818,6.0021395223481315,2.0051634536165728
34,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9081590720585413,0.3051257382193679,4.403294878346579,1.5834584271255812,5.361009934970311,0.4530646315061604,5.973747268744877,2.0956533728053937
35,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.927734192780086,0.3388106635535803,4.876751291751861,1.7123729054507024,5.533820566109249,0.5186268672775972,6.629837220055716,2.342196055009333
36,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.923533524785723,0.34432115856703943,4.780479276180268,1.4037493523006097,5.430293594087873,0.5137202318947565,6.529863784994398,2.0354423581625247
